id,address,area,bedrooms,bikeScore,datetime,distanceToNearestIntersection,geotag,has_image,has_map,name,postalCode,price,repost_of,sideOfStreet,transitScore,url,walkScore,where
6917642765,214 10th St,1800ft2,3,64.0,2019-06-22 00:39,12.423140049509712,"[40.5682, -74.1184]",True,True,three-bed twonhouse,10306,$2500,6881031237,L,69.0,https://newyork.craigslist.org/stn/abo/d/staten-island-three-bed-twonhouse/6917642765.html,74.0,bay terrace
6917650086,1091 Hart St,,3,88.0,2019-06-22 00:37,16.2872697334708,"[40.706852, -73.917852]",True,True,stunning apartment with everything you need  no fee,11237-3405,$2900,,L,93.0,https://newyork.craigslist.org/brk/abo/d/brooklyn-stunning-apartment-with/6917650086.html,97.0,bushwick
6917652044,232 W 10th St,,1,91.0,2019-06-22 00:37,82.05821397063889,"[40.7339, -74.0054]",True,True,this is a gut renovated 1 bedroom,10014-2976,$900,,L,100.0,https://newyork.craigslist.org/mnh/abo/d/new-york-city-this-is-gut-renovated-1/6917652044.html,100.0,535 hudson st
6917636375,173 New York Ave,,4,93.0,2019-06-22 00:33,0.0,"[40.674162, -73.947313]",True,True,modern and fabulous apartment,11216-4007,$3400,,L,100.0,https://newyork.craigslist.org/brk/abo/d/brooklyn-modern-and-fabulous-apartment/6917636375.html,97.0,crown heights
6917633396,165 Spencer St,,3,89.0,2019-06-22 00:31,0.17255103642745045,"[40.693102, -73.95488]",True,True,huge 3 bedroom apartment with hardwood floors,11205-3930,$3000,,L,91.0,https://newyork.craigslist.org/brk/abo/d/brooklyn-huge-3-bedroom-apartment-with/6917633396.html,95.0,bed-stuy
6917659538,277 5th Ave,,2,89.0,2019-06-22 00:30,3.544608568117542,"[40.673962, -73.982268]",True,True,new reno** 2br on 5th and 1st**brownie on the slope!,11215-2417,$2995,,L,100.0,https://newyork.craigslist.org/brk/abo/d/brooklyn-new-reno-2br-on-5th-and/6917659538.html,97.0,park slope
6917672862,732 W End Ave,,,85.0,2019-06-22 00:30,39.41232688685005,"[40.794735, -73.973094]",True,True,no fee! luxury dman ~roof deck ~new finishes ~free gym,10025-6245,$2700,,R,100.0,https://newyork.craigslist.org/mnh/nfb/d/new-york-city-no-fee-luxury-dman-roof/6917672862.html,99.0,upper west side
6917672842,729 W End Ave,,2,78.0,2019-06-22 00:30,44.63714080501013,"[40.79519, -73.974038]",True,True,no fee!  luxury dman ~new open kit. ~roof deck ~free gym,10025-6258,$3400,,L,100.0,https://newyork.craigslist.org/mnh/nfb/d/new-york-city-no-fee-luxury-dman-new/6917672842.html,95.0,upper west side
6913769135,12003 Liberty Ave,,,58.0,2019-06-22 00:52,30.075313704155093,"[40.6868, -73.823]",False,True,one bedroom apartment,11419-2117,$1150,,L,81.0,https://newyork.craigslist.org/que/abo/d/south-richmond-hill-one-bedroom/6913769135.html,91.0,richmond hill/ ozone park
6917646893,2199 Newkirk Ave,,4,84.0,2019-06-22 00:50,0.0,"[40.63865, -73.956839]",True,True,massive godzilla sized 4bed 2bath with modern renovations,11226,$3200,,L,100.0,https://newyork.craigslist.org/brk/abo/d/brooklyn-massive-godzilla-sized-4bed/6917646893.html,92.0,flatbush
6917641333,1386 Nostrand Ave,,1,67.0,2019-06-22 00:50,0.0,"[40.652642, -73.949769]",True,True,generous balconies and unparalleled views,11226-2503,$1760,,R,99.0,https://newyork.craigslist.org/brk/abo/d/brooklyn-generous-balconies-and/6917641333.html,96.0,flatbush
6917653501,209 Stockholm St,,2,94.0,2019-06-22 00:49,0.14049689444509034,"[40.700675, -73.921631]",True,True,fantastic 2 bedroom in east williamsburg,11237-3801,$2400,,L,99.0,https://newyork.craigslist.org/brk/abo/d/brooklyn-fantastic-2-bedroom-in-east/6917653501.html,98.0,williamsburg
6917677415,888 8th Ave,,2,88.0,2019-06-22 00:49,20.231984462405407,"[40.763542, -73.98485]",True,True,8th ave.! dman ~dining ~renovated kit.& 2ba ~king brs,10019-0037,$4950,,R,100.0,https://newyork.craigslist.org/mnh/nfb/d/new-york-city-8th-ave-dman-dining/6917677415.html,99.0,midtown west
6917649255,701 Lincoln Pl,,4,87.0,2019-06-22 00:46,1.4277379791258638,"[40.670898, -73.953187]",True,True,big rooms with great light  4 bedroom apartment with 1.5 baths,11216-4209,$4199,,L,100.0,https://newyork.craigslist.org/brk/abo/d/brooklyn-big-rooms-with-great-light-4/6917649255.html,97.0,crown heights
6917658889,1091 Hart St,,3,88.0,2019-06-22 00:44,16.2872697334708,"[40.706852, -73.917852]",True,True,every room is a good size with windows & closet,11237-3405,$2900,,L,93.0,https://newyork.craigslist.org/brk/abo/d/brooklyn-every-room-is-good-size-with/6917658889.html,97.0,bushwick
6917652932,427 Rogers Ave,,3,86.0,2019-06-22 00:43,0.0,"[40.662174, -73.9537]",True,True,"new, modern apt w/ big bedrooms & natural light",11225-3420,$2800,,L,100.0,https://newyork.craigslist.org/brk/abo/d/brooklyn-new-modern-apt-big-bedrooms/6917652932.html,95.0,plg: prospect lefferts gardens
6917672127,81 Castle Pl,877ft2,2,67.0,2019-06-22 00:41,53.43889654282762,"[40.9002, -73.781]",True,True,apartment for rent,10805,$2200,,R,49.0,https://newyork.craigslist.org/wch/abo/d/new-rochelle-apartment-for-rent/6917672127.html,75.0,new rochelle
6915455979,312 Graham Ave,,3,90.0,2019-06-22 00:41,19.845731004920275,"[40.713256, -73.944211]",True,True,williamsburg -- gorgeous 3 br - steps from graham l - no fee!,11211-3737,$4450,,R,99.0,https://newyork.craigslist.org/brk/abo/d/brooklyn-williamsburg-gorgeous-3-br/6915455979.html,98.0,williamsburg
