,id,address,area,bedrooms,bikeScore,transitScore,walkScore,datetime,distanceToNearestIntersection,hasImage,hasMap,name,price,sideOfStreet,url,longitude,latitude,includesArea,advertisesNoFee,isRepost,postalCode,neighborhood
30,65398,350 Jefferson Ave,,4.0,77.0,,97.0,2019-06-21 23:08:00+00:00,0.0000,True,True,"Super high ceilings, exposed brick, skylight in the common space",3299,R,https://newyork.craigslist.org/brk/abo/d/brooklyn-super-high-ceilings-exposed/6917462786.html,-73.9440,40.6840,False,False,False,11221,Sunset Park
31,65404,500 Throop Ave,,2.0,75.0,,94.0,2019-06-21 23:05:00+00:00,0.0000,True,True,Each apartment features stainless steel appliances,2475,R,https://newyork.craigslist.org/brk/abo/d/brooklyn-each-apartment-features/6917453695.html,-73.9416,40.6865,False,False,False,11221,Sunset Park
32,65435,835 Dekalb Ave,,4.0,83.0,97.0,90.0,2019-06-22 00:10:00+00:00,0.0000,True,True,"Newly renovated 4 Bedroom Duplexes with private yard! Hardwood floors,",3750,L,https://newyork.craigslist.org/brk/abo/d/brooklyn-newly-renovated-4-bedroom/6915897770.html,-73.9428,40.6924,False,False,False,11221,Sunset Park
33,65440,17 Stuyvesant Ave,,3.0,80.0,98.0,97.0,2019-06-22 00:32:00+00:00,0.0000,True,True,All bedrooms are various size,2600,L,https://newyork.craigslist.org/brk/abo/d/brooklyn-all-bedrooms-are-various-size/6917524717.html,-73.9346,40.6956,False,False,False,11221,Sunset Park
34,65448,17 Goodwin Pl,1000.0,2.0,78.0,96.0,96.0,2019-06-22 00:30:00+00:00,73.0893,True,True,"BUSHWICK: Brand New, Modern 2 BR - J Train - NO FEE!",2599,L,https://newyork.craigslist.org/brk/abo/d/brooklyn-bushwick-brand-new-modern-2-br/6915855494.html,-73.9242,40.6920,True,True,False,11221,Sunset Park
35,65454,2 Starr St,,2.0,91.0,99.0,97.0,2019-06-22 00:26:00+00:00,0.0000,True,True,These giant 2 bedroom apartments feature stainless steel,3200,R,https://newyork.craigslist.org/brk/abo/d/brooklyn-these-giant-2-bedroom/6917507387.html,-73.9283,40.6999,False,False,False,11221,Sunset Park
36,65466,835 Dekalb Ave,,4.0,83.0,97.0,90.0,2019-06-22 00:45:00+00:00,0.0000,True,True,"Hardwood floors, high ceilings, open concept living room",3750,L,https://newyork.craigslist.org/brk/abo/d/brooklyn-hardwood-floors-high-ceilings/6917542907.html,-73.9428,40.6924,False,False,False,11221,Sunset Park
37,65469,704 Bushwick Ave,,2.0,85.0,97.0,97.0,2019-06-22 00:43:00+00:00,0.0000,True,True,HVAC system in every room and even the bathroom is heated,2150,R,https://newyork.craigslist.org/brk/abo/d/brooklyn-hvac-system-in-every-room-and/6917528050.html,-73.9311,40.6967,False,False,False,11221,Sunset Park
38,65477,1391 Dekalb Ave,,2.0,95.0,99.0,99.0,2019-06-22 00:34:00+00:00,0.0000,True,True,Recently renovated apartment a block to the L train in prime Bushwick,2800,L,https://newyork.craigslist.org/brk/abo/d/brooklyn-recently-renovated-apartment/6913233440.html,-73.9238,40.6996,False,False,False,11221,Sunset Park
39,65479,648 Gates Ave,,2.0,75.0,98.0,91.0,2019-06-22 01:11:00+00:00,0.0000,True,True,Super large bedroom with huge walking closet,2383,R,https://newyork.craigslist.org/brk/abo/d/brooklyn-super-large-bedroom-with-huge/6917547974.html,-73.9390,40.6876,False,False,False,11221,Sunset Park
40,65480,1065 Madison St,,3.0,84.0,96.0,90.0,2019-06-22 01:11:00+00:00,0.0782,True,True,"Lovely 3 bed, 1 bath on madison street in the bed-stuyvesant",2595,L,https://newyork.craigslist.org/brk/abo/d/brooklyn-lovely-3-bed-1-bath-on-madison/6915896948.html,-73.9170,40.6911,False,False,False,11221,Sunset Park
41,65481,199 Harman St,,3.0,92.0,100.0,98.0,2019-06-22 01:11:00+00:00,0.0000,True,True,"Three big bedrooms, plus an extra room for an office",3599,L,https://newyork.craigslist.org/brk/abo/d/brooklyn-three-big-bedrooms-plus-an/6915902600.html,-73.9208,40.6979,False,False,False,11221,Sunset Park
42,65482,199 Harman St,,2.0,92.0,100.0,98.0,2019-06-22 01:11:00+00:00,0.0000,False,True,Gorgeous 2 bedroom with huge duplex basement,3650,L,https://newyork.craigslist.org/brk/abo/d/brooklyn-gorgeous-2-bedroom-with-huge/6915887915.html,-73.9208,40.6979,False,False,False,11221,Sunset Park
