,id,address,area,bedrooms,bike_score,transit_score,walk_score,datetime,distance_to_nearest_intersection,has_image,has_map,name,price,side_of_street,url,longitude,latitude,includes_area,advertises_no_fee,is_repost,postal_code,neighborhood,borough
585,35618,1560 White Plains Rd,805.0,1.0,65.0,,94.0,2019-07-05 10:37:00+00:00,47.1962,True,True,Spacious 1 bedroom for rent Elevator/Laundry -800SF,1498,R,https://newyork.craigslist.org/brx/abo/d/bronx-spacious-1-bedroom-for-rent/6926981004.html,40.8397,-73.8634,True,False,True,10462,Southeast Bronx,Bronx
586,35619,4593 Manhattan College Pkwy,785.0,1.0,61.0,,84.0,2019-07-05 10:36:00+00:00,22.3154,True,True,Lovely 1 bedroom for rent Elevator/Laundry - Parking!,1595,L,https://newyork.craigslist.org/brx/abo/d/bronx-lovely-1-bedroom-for-rent/6926977857.html,40.8896,-73.9000,True,False,True,10471,Kingsbridge and Riverdale,Bronx
591,35711,368 Manida St,800.0,2.0,79.0,,83.0,2019-07-05 11:18:00+00:00,0.0000,False,True,2 bedroom,1800,R,https://newyork.craigslist.org/brx/abo/d/bronx-2-bedroom/6922181977.html,40.8084,-73.8868,True,False,True,10474,Hunts Point and Mott Haven,Bronx
598,35994,896 Neill Ave,1000.0,2.0,74.0,,88.0,2019-07-05 16:00:00+00:00,3.1214,True,True,PRIVATE BALCONY - POOL -  PET FRIENDLY - NO FEE!!,2400,R,https://newyork.craigslist.org/brx/nfb/d/bronx-private-balcony-pool-pet-friendly/6927323385.html,40.8508,-73.8621,True,True,True,10462,Southeast Bronx,Bronx
601,36034,3801 Waldo Ave,884.0,3.0,80.0,,94.0,2019-07-05 17:19:00+00:00,0.0000,True,True,"NO BROKER FEES - 3 Bedroom, 2 Bath on WALDO AVE, Bronx in Riverdale",2700,L,https://newyork.craigslist.org/brx/nfb/d/bronx-no-broker-fees-3-bedroom-2-bath/6927389316.html,40.8871,-73.9041,True,False,True,10463,Kingsbridge and Riverdale,Bronx
602,36035,1660 Purdy St,686.0,1.0,67.0,,94.0,2019-07-05 17:18:00+00:00,6.0686,True,True,Modern 1 Bedroom Apartment @^@ IN Private House - Heat Included,500,R,https://newyork.craigslist.org/brx/abo/d/bronx-modern-1-bedroom-apartment-in/6927289827.html,40.8408,-73.8542,True,False,True,10462,Southeast Bronx,Bronx
603,36040,3801 Waldo Ave,1050.0,4.0,80.0,,94.0,2019-07-05 17:14:00+00:00,0.0000,True,True,"NO BROKER FEES - 4 Bedroom, 2 Bath on WALDO AVE, Bronx in Riverdale",3100,L,https://newyork.craigslist.org/brx/nfb/d/bronx-no-broker-fees-4-bedroom-2-bath/6927385481.html,40.8871,-73.9041,True,False,True,10463,Kingsbridge and Riverdale,Bronx
607,36066,Bronx River Pkwy N,630.0,1.0,72.0,,87.0,2019-07-05 18:29:00+00:00,NaN,True,True,Check this bedroom for your better living _ Ma.le/Fem.ale!,330,R,https://newyork.craigslist.org/brx/abo/d/bronx-check-this-bedroom-for-your/6927376659.html,40.8737,-73.8712,True,False,True,10467,Bronx Park and Fordham,Bronx
609,36092,3801 Waldo Ave,1050.0,4.0,80.0,,94.0,2019-07-05 18:06:00+00:00,0.0000,True,True,"**NO BROKER FEES - 4 Bedroom, 2 Bath on WALDO AVE, BRONX IN RIVERDALE*",3100,L,https://newyork.craigslist.org/brx/nfb/d/bronx-no-broker-fees-4-bedroom-2-bath/6927425123.html,40.8871,-73.9041,True,False,True,10463,Kingsbridge and Riverdale,Bronx
610,36099,3801 Waldo Ave,884.0,3.0,80.0,,94.0,2019-07-05 18:03:00+00:00,0.0000,True,True,"**NO BROKER FEES - 3 Bedroom, 2 Bath on WALDO AVE, BRONX IN RIVERDALE*",2700,L,https://newyork.craigslist.org/brx/nfb/d/bronx-no-broker-fees-3-bedroom-2-bath/6927422925.html,40.8871,-73.9041,True,False,True,10463,Kingsbridge and Riverdale,Bronx
